Thank you for everything.,Joe
Thank you for buying me toys.,Joe
I love you!,Joe
I love you!,Andreas
Thank you for taking care of me when I am sick.,Andreas
Thank you for getting me a house.,Joe
Thank you for buying me pets.,Joe
Thank you for life.,Joe
Thank you for buying me food,Joe
Thank you for a family.,Joe
Thank you for help when I need it.,Joe
Thank you for being my mom.,Joe
I love it when you read to me at bedtime. Thank you!,Joe
I love how you give me hugs,Joe
You are so beautiful!,Andreas
You are always there when I need to talk,Andreas
I am always happy when when you call. I like hearing your voice; it always has a giggle.,Andreas
Thank you for marrying me!,Andreas
"I love how you help me when I need it, unlike dad...",Joe
I like how you help me do things that I could not do alone.,Joe
I like when you punch me. Slug bug!,Andreas
This message good for one back rub. Take a picture for proof!,Andreas
"Thank you for calling me out on my bullshit. I'm not always right, I just want to be.",Andreas
I love mom because she always makes me laugh. She accidentally does funny things.,Joe
I love mom because she makes really good omelettes. I like omelettes. Do you?,Joe
"Go get 'em, Tiger!",Andreas
One way that we're special is poop. We'll always have good poop stories. The poop is strong with us!,Andreas
Thank you for cleaning up. I don't put enough emphasis on the work you do around the house.,Andreas
You are so smart and pretty. I'm lucky to have you in my life.,Andreas
I like when you rub my neck when I'm driving. Thank you!,Andreas
I like hearing you sing California Dreaming around the house. You brighten my life.,Andreas
This message good for one hour of 'yes'. We will answer 'yes' to any request for one hour. Redeem with a picture of this message.,J & A
